CODE,DESCRIPTION,FUNCTIONAL GROUP,KEYBOARD SHORTCUT CODE
ACAN,Acanthastrea,HC,
ACB,Acropora branching,HC,
ACC,Acropora corymbose,HC,
ACD,Acropora digitate,HC,
ACH,Acropora hispidose,HC,
ACT,Acropora plate,HC,
ACR,Acropora robusta group,HC,
AA,Algal assemblages,BIO,
AST,Astreopora,HC,
AF,Attached fungiids,HC,
BL_HC,Bleached Hard Corals,BL_HC,
CAU,Caulastrea,HC,
COE,Coeloseris,HC,
RB,Coral rubble,AB,
CCA,Coralline Algae,BIO,
COS,Coscinaraea,HC,
CM,Cyanobacterial Mats,BIO,
CYP,Cyphastrea,HC,
DC,Dead Coral,AB,
DCA,Dead coral with algae,AB,
DIP,Diploastrea heliopora,HC,
ECHY,Echinophyllia,HC,
ECHI,Echinopora,HC,
EUP,Euphyllia,HC,
FAV,Favia,HC,
FVI,Favites,HC,
CMR,Fungia,HC,
GAL,Galaxea,HC,
GONIA,Goniastrea,HC,
GONIO,Goniopora,HC,
HA,Halimeda,BIO,
HEL,Heliopora,HC,
HYD,Hydnophora,HC,
INV,Invertebrates,BIO,
ISO,Isopora,HC,
LEPA,Leptoria,HC,
LEPS,Leptoseris,HC,
LOB,Lobophyllia,HC,
MA,Macroalgae,BIO,
MER,Merulina,HC,
MILL,Millepora,HC,
MON,Montastrea,HC,
MONTB,Montipora branching,HC,
MONTE,Montipora encrusting,HC,
MONTF,Montipora foliose,HC,
MYC,Mycedium,HC,
CB,Other branching corals,HC,
BUB,Other bubble corals,HC,
CE,Other encrusting corals,HC,
CF,Other foliose corals,HC,
FOT,Other free living fungiids,HC,
CM,Other massive corals,HC,
OT,Others,OT,
OULA,Oulastrea,HC,
OULO,Oulophyllia,HC,
OXY,Oxypora,HC,
PACE,Pachyseris encrusting,HC,
PACF,Pachyseris foliose,HC,
PAV,Pavona,HC,
PEC,Pectinia,HC,
PLAT,Platygyra,HC,
POC,Pocillopora,HC,
PORB,Porites branching,HC,
PORE,Porites encrusting,HC,
PORM,Porites massive,HC,
RCK,Rock,AB,
S,Sand,AB,
SER,Seriatopora,HC,
SI,Silt,AB,
SC,Soft Corals,BIO,
SP,Sponge,BIO,
STY,Stylophora,HC,
SYM,Symphyllia,HC,
TUBI,Tubipora musica,HC,
TURB,Turbinaria,HC,
UN,Unknown/Unidentifiable,UN,
ZO,Zoanthids,BIO,
